asciiquarium 1.1-7
banner 1.3.2-12
base 3-3
base-devel 1-2
bat 0.26.1-2
bc 1.08.2-1
blueman 2.4.6-2
bluez 5.86-4
bluez-utils 5.86-4
brightnessctl 0.5.1-3
btop 1.4.6-1
cliphist 1:0.7.0-2
cmatrix 2.0-4
cpufetch 1.07-1
devtools 1:1.5.0-1
discord 1:0.0.130-1
docker 1:29.3.0-1
dunst 1.13.1-1
efibootmgr 18-3
fastfetch 2.60.0-1
fish 4.5.0-2
gammastep 2.0.11-2
git 2.53.0-1
git-lfs 3.7.1-1
github-cli 2.88.1-1
grim 1.5.0-2
gst-plugin-pipewire 1:1.6.2-1
helix 25.07.1-1
intel-ucode 20260227-1
ipcalc 0.51-2
kitty 0.46.2-1
lib32-glibc 2.43+r5+g856c426a7534-1
lib32-mesa 1:26.0.3-1
libinput-tools 1.31.0-1
libpulse 17.0+r98+gb096704c0-1
libqalculate 5.9.0-1
linux 6.19.9.arch1-1
linux-firmware 20260309-1
man-db 2.13.1-1
mangowm 0.12.7-2
materia-gtk-theme 20210322-4
nano 8.7.1-1
nerd-fonts-sf-mono 3.4.0-1
networkmanager 1.56.0-1
nm-connection-editor 1.36.0-1
npm 11.12.0-1
openconnect 1:9.12-4
paru 2.1.0-2
paru-debug 2.1.0-2
pcmanfm 1.4.0-2
pipewire 1:1.6.2-1
pipewire-alsa 1:1.6.2-1
pipewire-jack 1:1.6.2-1
pipewire-pulse 1:1.6.2-1
playerctl 2.4.1-5
polkit-kde-agent 6.6.3-1
power-profiles-daemon 0.30-1
powertop 2.15-2
qalculate-gtk 5.9.0-1
qt5-wayland 5.15.18+kde+r55-1
qt6-wayland 6.10.2-1
rofi 2.0.0-1
rustup 1.29.0-2
sl 5.05-5
slurp 1.5.0-1
sof-firmware 2025.12.2-1
spotify 1:1.2.84.476-1
starship 1.24.2-2
sway 1:1.11-1
swaybg 1.2.2-1
swayidle 1.9.0-1
swaylock 1.8.5-1
swaync 0.12.5-1
systemctl-tui 0.5.2-1
tlp 1.9.1-1
tlp-rdw 1.9.1-1
tmux 3.6_a-1
ttf-jetbrains-mono-nerd 3.4.0-2
unzip 6.0-23
valgrind 3.25.1-4
virtualbox 7.2.6-4
virtualbox-host-modules-arch 7.2.6-9
visual-studio-code-bin 1.112.0-1
vulkan-intel 1:26.0.3-1
webkit2gtk 2.50.6-1
wget 1.25.0-3
whitesur-cursor-theme-git r18.e190baf-1
whitesur-gtk-theme 2025.04.03-1
whitesur-icon-theme 2025.12.27-1
wireplumber 0.5.13-2
wl-clip-persist 0.5.0-2
wl-clipboard 1:2.3.0-1
wlr-randr 0.5.0-1
wofi 1.5.3-1
xdg-desktop-portal-wlr 0.8.1-1
xorg-xwayland 24.1.9-1
zathura 2026.02.22-1
zen-browser-bin 1.19.3b-1
zram-generator 1.2.1-1
